1,The Mystic Number of Kether,אא
1,Aleph (Ox),א
2,"(Notariqon of Arik Anpin, 422)",אא
2,Beth (House),א
2,"In, at, with, by",ב
3,The Mystic Number of Chokmah, 
3,Father,אב
3,"To come, go",בא
3,Gimel (Camel),ג
4,Father (alternatively: AB),אבא
4,Hollow; a vein,בב
4,Proud,גא
4,"In, at, in the, at the",ב ב
5,"Mist, vapour",אד
5,Back; food,בג
5,"Elevation, top; pit, water-hole",גב
5,The,ה
6,The Mystic Number of Binah, 
6,"To gather, collect",גבא
6,Flat roof; cover of an altar,גג
6,A bear,דב
6,A window; lo!,הא
6,"Father, a title of Chokmah",אבבא
6,Separation; white linen; idle talk; liar,בד
6,Oh,אה
6,And,ו
7,"Lost, ruined",אבד
7,A name of God attributed to Venus (initials of Adonai ha-Aretz),אהא
7,"Desire; either, or",או
7,Good fortune,גד
7,Was weary,דאב
7,"Riches, power",דבא
7,Fish,דג
7,Light,וא
7,"Loot, pillage",בה
8,"To will, intend",אבה
8,"Love; desired, beloved",אהב
8,Then,אז
8,"The entrance, threshold",באה
8,"To be anxious, grieve",דאג
8,Breast; love; beloved; pleasures of love,דד
8,"(Notariqon of Zauir Anpin, 478)",זא
8,"In itself; in the ... is, that in it",בו
8,But,ח
8,"Mama, mother",אוא
9,"Ventriloquist, necromancer; the special “fire” of black magic, whence Obi, Obeah (cf. 11 & 207)",אוב
9,He kindled,אזא
9,Brother,אח
9,A garment,בגד
9,"Became powerful, grew high",גאה
9,"Middle, midst; back (n.)",גו
9,Splendour (cf. 15); shout of joy,הד
9,Booty; prey,בז
9,Come,בוא
9,"Flow, discharge",זב
9,Sinner,חא
10,The Mystic Number of Chesed, 
10,Heh: a window; alas,הה
10,The God HAD,האד
10,"Mutterer, enchanter; whisper (n.)",אט
10,"Elevated, exalted, high",גבה
10,"Flew, soared",דאה
10,Two,דו
10,A wolf,זאב
10,A hidden place; bosom,חב
10,Fleece,גז
10,To sweep away,טא
10,Skin of grapes,זג
10,"Mutterer, enchanter; whisper",אט
10,The God HAD (spelt in full),ה׃א׃ד׃
10,Alone,בדד
11,Ahah,אהה
